season,PLAYER_ID,player,team,minutes,impact_off,impact_def,impact_total,sd_off,sd_def,waa_off,waa_def,waa_total,booker_score,booker_off,booker_def,rank
2018,202683,Enes Freedom,NYK,1674,0.55,-0.39,0.16,1.346,1.378,0.71,-0.5,0.2,0.15,0.53,-0.38,121
2018,202684,Tristan Thompson,CLE,974,-0.9,0.54,-0.36,1.047,1.404,-0.7,0.42,-0.28,-0.34,-0.86,0.52,151
2018,202685,Jonas Valančiūnas,TOR,1614,-0.17,0.98,0.82,1.484,1.429,-0.2,1.16,0.96,0.78,-0.16,0.94,82
2018,202687,Bismack Biyombo,ORL,1363,-1.27,0.17,-1.1,1.139,1.414,-1.25,0.17,-1.08,-1.05,-1.22,0.17,211
2018,202689,Kemba Walker,CHO,2493,3.31,1.77,5.07,1.449,1.426,5.97,3.19,9.17,4.85,3.16,1.69,11
2018,202691,Klay Thompson,GSW,2283,2.05,0.54,2.6,1.505,1.475,3.48,0.93,4.41,2.48,1.96,0.52,32
2018,202692,Alec Burks,UTA,898,-1.64,-1.8,-3.44,1.46,1.536,-1.08,-1.19,-2.28,-3.29,-1.57,-1.72,286
2018,202693,Markieff Morris,WAS,1811,0.13,-0.07,0.06,1.452,1.428,0.17,-0.09,0.08,0.06,0.12,-0.07,127
2018,202694,Marcus Morris Sr.,BOS,1250,0.73,-0.03,0.69,1.26,1.373,0.65,-0.03,0.63,0.66,0.69,-0.03,100
2018,202696,Nikola Vučević,ORL,1526,1.18,1.25,2.43,1.375,1.388,1.29,1.37,2.66,2.32,1.13,1.19,49
2018,202699,Tobias Harris,DET,2323,0.91,1.17,2.08,1.385,1.382,1.62,2.07,3.7,1.98,0.87,1.11,40
2018,202702,Kenneth Faried,DEN,426,0.19,0.15,0.34,1.362,1.515,0.06,0.05,0.11,0.33,0.18,0.14,126
2018,202703,Nikola Mirotic,NOP,1288,0.36,0.03,0.39,1.438,1.406,0.33,0.03,0.36,0.38,0.34,0.03,111
2018,202704,Reggie Jackson,DET,1099,0.57,0.35,0.92,1.384,1.576,0.48,0.3,0.78,0.88,0.55,0.34,90
2018,202709,Cory Joseph,IND,1953,-0.67,-0.0,-0.68,1.39,1.478,-0.98,-0.01,-0.99,-0.65,-0.64,-0.0,208
2018,202710,Jimmy Butler III,MIN,1961,4.33,0.81,5.14,1.394,1.469,6.19,1.16,7.35,4.91,4.14,0.78,18
2018,202711,Bojan Bogdanovic,IND,2262,-1.67,-2.11,-3.78,1.388,1.484,-2.8,-3.55,-6.35,-3.62,-1.59,-2.02,335
2018,202714,Shelvin Mack,ORL,1204,-1.33,-0.92,-2.25,1.385,1.446,-1.15,-0.79,-1.94,-2.15,-1.27,-0.88,269
2018,202718,Chandler Parsons,MEM,590,0.08,-0.15,-0.07,1.273,1.427,0.03,-0.06,-0.03,-0.07,0.07,-0.14,133
2018,202722,Davis Bertans,SAS,928,0.9,0.95,1.84,1.463,1.708,0.63,0.67,1.3,1.76,0.86,0.9,74
2018,202732,DeAndre Liggins,MIL,655,-0.4,-0.51,-0.9,1.349,1.6,-0.2,-0.25,-0.45,-0.86,-0.38,-0.49,164
2018,202734,E'Twaun Moore,NOP,2332,-0.4,-1.3,-1.7,1.305,1.492,-0.66,-2.14,-2.8,-1.63,-0.39,-1.24,299
2018,202738,Isaiah Thomas,LAL,764,1.97,2.31,4.28,1.397,1.38,1.02,1.19,2.21,4.09,1.88,2.21,55
2018,202779,Dwight Buycks,DET,382,-0.55,-1.47,-2.02,1.759,1.927,-0.16,-0.43,-0.59,-1.93,-0.52,-1.4,177
2018,203076,Anthony Davis,NOP,2411,4.03,2.53,6.57,1.32,1.401,6.85,4.31,11.16,6.27,3.85,2.42,8
2018,203077,Michael Kidd-Gilchrist,CHO,1700,-0.11,0.89,0.78,1.36,1.513,-0.13,1.1,0.97,0.75,-0.1,0.85,81
2018,203078,Bradley Beal,WAS,2679,1.46,1.05,2.5,1.516,1.419,2.82,2.03,4.85,2.39,1.39,1.0,28
2018,203079,Dion Waiters,MIA,811,-1.29,-1.15,-2.44,1.414,1.301,-0.8,-0.72,-1.52,-2.34,-1.23,-1.1,241
